"lawyer", "ügyvéd"
  "lie down", "fekszik"
  "play", "játszik\njátszotok"
  "there", "oda"
  "bath", "fürdő"
  "here", "ide"
  "come", "jön"
  "sleep", "alszik"
  "live", "lakik"
  "go", "menni / megy"
  "from here", "innen"
  "from there", "onnen"
  "can", "tud"
  "laugh", "nevet"
  "use", "használ"
  "Where do you swim?", "Hol úszol"
  "play tennis", "teniszez"
  "clock", "óra"
  "noon", "dél"
  "quarter", "negyed"
  "three quater", "háromnegyed"
  "(in the) afternoon", "délután"
  "eleven", "tizenegy"
  "in the morning", "délelőtt"
  "twelve", "tizenkét / tizenkettő"
  "get up / wakes", "kel"
  "at six", "hatkor"
  "meet", "találkozó"
  "at eight", "nyolckor"
  "seven", "hét"
  "at seven", "hétkor"
  "minute", "perc"
  "twenty", "húsz"
  "midnight", "éjfél"
  "when / at what time", "mikor"
  "already", "már"
  "movie", "film"
  "breakfast", "reggeli"
  "dinner", "vacsorazik"
  "start / begin", "kezd"
  "I am already here", "Én már itt vagyok"
  "Monday", "hétfő"
  "Wednesday", "szerda"
  "every", "minden"
  "Tuesday", "kedden"
  "Thursday", "csütörtök"
  "Sunday", "vasárnap"
  "Saturday", "szombat"
  "Friday", "péntek"
  "Monday", "hétfő"
  "today", "ma"
  "tomorrow", "holnap"
  "the day after tomorrow", "holnapután"
  "day", "nap"
  "weekend", "hétvége"
  "day off", "szabadnap"
  "weekday", "hétköznap"
  "holiday", "ünnepnap"
  "usually", "általában"
  "T-shirt", "polo"
  "yellow", "sarga"
  "dress", "ruha"
  "thirty", "harminc"
  "how much", "mennyibe"
  "cost", "kerül"
  "forty", "negyven"
  "black", "fekete"
  "bag", "táska"
  "hundred", "száz"
  "five hundred", "ötszáz"
  "thousand", "ezer"
  "blue", "kék"
  "white", "fehér"
  "expensive", "drága"
  "fitting room", "próbafülke"
  "fifty", "ötven"
  "striped", "csikos"
  "umbrella", "esernyő"
  "coat", "kabát"
  "pants", "nadrág"
  "cheap", "olcsó"
  "price", "ár"
  "shirt", "ing"
  "scarf", "sál"
  "belt", "öv"
  "brown", "barna"
  "long", "hosszú"
  "salesperson", "eladó"
  "hospital", "kórház"
  "young", "fiatal"
  "to take a bath", "füredni"
  "to play football", "focizni"
  "early / soon", "korán"
  "using Duolingo", "duolingozol"
  "like", "szeret"
  "hate", "utál"
  "tooth", "fog"
  "possible", "lehető"
  "to be", "lenni"
  "ask for", "kérni"
  "watching TV", "tévét nézni"
  "butter", "vaj"
  "I used to", "szoktam"
  "on the chair", "széken"
  "on/by bus", "buszon"
  "shelf", "polc"
  "streetcar", "villamoson"
  "to travel", "utazni"
  "on/by train", "vonaton"
  "on the table", "asztalon"
  "bridge", "hid"
  "ship / boat", "hajó"
  "on what", "min"
  "street", "utca"
  "grass", "fű"
  "sidewalk", "járda"
  "green", "zöld"
  "market", "piac"
  "on the ground", "földön"
  "mountain", "hegy"
  "square", "téren"
  "fast", "gyors"
  "rich", "gazdag"
  "important", "fontos"
  "slow", "lassú"
  "short", "rövid"
  "easy / lightweight", "könnyű"
  "bad", "ross"
  "dry", "száraz"
  "wide", "széles"
  "sea", "tenger"
  "correct", "helyes"
  "answer", "válasz"
  "deep", "mély"
  "elderly", "idős"
  "strong", "erős"
  "thin", "sovány"
  "clean", "tiszta"
  "to clean", "takari"
  "ugly", "csúnya"
  "famous", "híres"
  "smart", "okos"
  "heavy", "nehéz"
  "fat", "kövér"
  "old", "öreg"
  "what (day)", "milyen (nap)"
  "bit / little", "kis"
  "mouse", "egér"
  "fire", "tűz"
  "question", "kérdés"
  "there are none", "nincsenek"
  "lion", "oroszlán"
  "zoo", "állatkert"
  "animal", "állat"
  "giraffe", "zsiráf"
  "monkey", "majom"
  "frog", "béka"
  "lizard", "gyík"
  "fish", "hal"
  "butterfly", "pillangó"
  "kitten", "cica"
  "duck", "kacsa"
  "beetle", "bogár"
  "snow", "hó"
  "warm", "meleg"
  "cold", "hideg"
  "degree", "fok"
  "will be", "lesz"
  "sun", "nap"
  "rain", "eső"
  "rarely", "ritkán"
  "often", "gyakran"
  "wind", "szél"
  "blow", "fúj"
  "ice", "jég"
  "summer", "nyár"
  "winter", "tél"
  "autumn / fall", "ősz"
  "spring", "tavasz"
  "weather", "idő"
  "sunny", "napos"
  "bicycle", "bicikli"
  "shoe", "cipő"
  "glove", "kesztyű"
  "friend", "barátja"
  "slippers", "papucsom"
  "suitcase", "bőrönd"
  "favorite", "kedvenc"
  "bed", "ágy"
  "German", "nemet"
  "Greek", "görög"
  "polish", "lengyel"
  "italian", "olaszok"
  "spanish", "spanyol"
  "Turkish", "török"
  "but / rather", "hanem"
  "belgian", "belga"
  "Chinese", "kinai"
  "Austrian", "osztrák"
  "drive", "vezet"
  "know", "ismer"
  "I am getting", "kapok"
  "get", "kap"
  "horse", "lo"
  "letter", "level"
  "example", "példa"
  "money", "pénz"
  "song", "dal"
  "spend", "költ"
  "stamp", "bélyeg"
  "napkin", "szalvéta"
  "cut", "vág"
  "rent", "bérel"
  "apartment", "lakás"
  "build", "épít"
  "collect", "gyűjt"
  "walnut tree", "diófa"
  "peanut butter", "mogyoróvaj"
  "chestnut tree", "gesztenyefa"
  "grind", "darál"
  "poppy seed", "mák"
  "catch", "fog"
  "peanut", "mogyoró"
  "nose", "orr"
  "back", "hát"
  "head", "fej"
  "bleed", "vérzik"
  "stomach", "has"
  "hurts", "fáj"
  "itch", "viszket"
  "leg", "láb"
  "eye", "szem"
  "ear", "fül"
  "mouth", "száj"
  "arm", "kar"
  "face", "arc"
  "beard", "szakáll"
  "hairy", "szőrös"
  "neck", "nyak"
  "hand", "kéz"
  "heel / corner", "sarok"
  "shoulder", "váll"
  "buttock", "fenék"
  "mustache", "bajusz"
  "spine", "gerinc"
  "knee", "térd"
  "skin", "bőr"
  "right", "jobb"
  "left", "bal"
  "body", "test"
  "throat", "torok"
  "thigh", "comb"
  "fur", "szőr"
  "finger", "ujj"
  "blood", "vér"
  "ankle", "boka"
  "red-headed (рыжий)", "vörös"
  "blond", "szőke"
  "but", "de"
  "how old", "hány éves"
  "newspaper", "újság"
  "bring", "hoz"
  "something", "valami"
  "this", "ezt"
  "that", "azt"
  "father-in-law", "após"
  "name", "nev"
  "grandchild", "unoka"
  "relative", "rokonai"
  "mother-in-law", "anyós"
  "niece", "unokahúg"
  "husband", "férj"
  "bride/fiancee", "menyasszony"
  "nephew", "unokaöcs"
  "groom/fiance", "vőlegény"
  "brother-in-law", "sógor"
  "parents", "szülők"
  "grandparents", "nagyszülők"
  "sibling", "testvér"
  "family", "család"
  "younger sister", "húga"
  "younger brother", "öccse"
  "brother", "testvér"
  "sister", "nővér"
  "wife", "feleség"
  "older sister", "nővér"
  "daughter", "lánya"
  "hear", "hall"
  "listen (to smth)", "hallgat"
  "push", "tol"
  "visit", "meglátogat"
  "find", "talál"
  "enjoy", "élvez"
  "measure", "lemér"
  "warning", "figyelmeztetés"
  "operating", "műtői"
  "make", "készít"
  "observing", "figyeli"
  "know (smth)", "tud"
  "know (smbd)", "ismer"
  "you (тебя)", "teged"
  "you (вас)", "titekat"
  "wash dishes", "mosogat"
  "guest", "vendég"
  "you cold (замёрз)", "fázol"
  "fight", "harcol"
  "sneeze", "tüsszent"
  "set", "mutat"
  "adore (you)", "imádlak"
  "bother/annoy", "zavar"
  "envy", "irigyel"
  "let go", "elengedem"
  "over / yet", "vége"
  "kiss", "csók"
  "forget", "elfelejt"
  "visit (smb)", "meglátogat"
  "sorry", "sajnálat"
  "word", "szó"
  "sentence", "mondat"
  "useful", "hasznos"
  "language", "nyelv"
  "son", "fiad"
  "include/contain", "tartalmazza"
  "imitate/mimic", "utánoz"
  "like this", "így"
  "match", "meccs"
  "believe", "hisz"
  "put", "tesz"
  "money", "penz"
  "pay", "fizet"
  "motorcycle", "motor"
  "on foot (пешком)", "gyalog"
  "dangerous", "veszelyes"
  "alone", "egyedul"
  "together", "együtt"
  "one of the", "egyik"
  "another", "masik"
  "arrive", "érkezik"
  // "", "Berletem"
  "ticket", "jegy"
  "and", "pedig"
  "safe", "biztonsagos"
  "monthly pass", "Havy berletet"
  "again", "ujra"
  "monthly", "havi"
  "snail / rolls", "csiga"
  "bisquit", "kekszet"
  "ham", "sonka"
  "scrambled eggs", "rántotta"
  "sour cream", "tejföl"
  "lángos", "lángos"
  "cafeteria", "menza"
  "sour cream", "tejföl"
  "strudel", "rétes"
  "pumpkin", "tök"
  "ice cream", "fagylalt"
  "jam", "lekvár"
  "pancake", "palacsinta"
  "pastry", "szsütemény"
  "present (gift)", "ajándék"
  "sending", "küld"
  "(to) her/him", "neki"
  "(to) them", "nekik"
  "give", "ad"
  "(to) you", "neked/nektek"
  "(to) me", "nekem"
  "message", "üzenet"
  "congratulations", "gratulálok"
  "answer/reply", "válaszol"
  "advise", "tanácsol"
  "owe", "tartozik"
  "lie", "hazud"
  "taste", "iz"
  "like", "tetsz"
  "forward", "továbbít"
  "forgive", "megbocsát"
  "myself", "magamat"
  "mirror", "tükör"
  "empty", "üres"
  "paint", "festék"
  "picture", "kép"
  "taking pictures", "fényképezés"
  "play music", "zenél"
  "play violin", "hegedül"
  "beautiful", "gyönyörű"
  "below", "lent"
  "upstairs", "fent"
  "in the front", "elöl"
  "in the photo", "fényképen"
  "concert", "koncert"
  "performance/lecture", "előadás"
  "ballet lesson", "balettóra"
  "lavatory/restroom", "mosdó"
  "volleyball", "röplabda"
  "basketball", "kosárlabda"
  "soccer", "foci"
  "play handball", "kézilabdázni"
  "water polo", "vízilabda"
  "team", "csapat"
  "knee injury", "térdsérülés"
  "ankle injury", "boka sérülés"
  "swimming", "úszás"
  "player", "játékos"
  "coach", "edző"
  "supporter/fan", "szurkoló"
  "on the field/pitch", "pályán"
  "goalkeeper", "kapus"
  "training", "edzés"
  "kitchen", "konyha"
  "bathroom", "fürdőszoba"
  "basement/cellar", "pince"
  "living room", "nappaliban"
  "room", "szoba"
  "box", "doboz"
  "bedroom", "hálószoba"
  "checkout", "pénztár"
  "entrance", "bejárat"
  "exit", "kijárat"
  "hairdress", "fodrász"
  "butcher", "hentes"
  "dentist", "fogorvos"
  "firm/company", "cég"
  "at their place", "nálunk"
  "skirt", "szoknya"
  "sweater", "pulóver"
  "ring", "gyűrű"
  "hat", "kalap"
  "necklace", "nyaklánc"
  "socks", "zokni"
  "gloves/mitten", "kesztyű"
  "earrings", "fülbevalók"
  "pocket", "zseb"
  "boots", "csizma"
  "watch", "karóra"
  "sandal", "szandál"
  "beanie", "sapka"
  "tie", "nyakkendő"
  "glasses", "szemüveg"
  "on you", "rajtad"
  "flower", "virág"
  "door", "ajtó"
  "curtain", "függöny"
  "key", "kulcs"
  "computer", "számítógép"
  "carpet", "szőnyeg"
  "kitchen furniture", "konyhabútor"
  "knife", "kés"
  "oven", "sütő"
  "plate", "tányér"
  "refrigerator", "hűtőszekrény"
  "bowl", "tál"
  "mug", "bögre"
  "spoon", "kanál"
  "fork", "villa"
  "bathtub", "kád"
  "comb", "fésű"
  "shower", "zuhany"
  "toothpaste", "fogkrém"
  "recommend", "ajánlani"
  "toothbrush", "fogkefe"
  "razor", "borotva"
  "armchair", "fotel"
  "pillow", "párna"
  "sofa / coach", "kanapé"
  "towel", "törölköző"
  "cupboard", "szekrény"
  "blanket", "takaró"
  "roof", "tető"
  "mine / belongs", "enyém"
  "hers", "az övé"
  "yours", "tiéd / önöké"
  "theirs", "övék"
  "ours", "miénk"
  "yours", "önöké"
  "map", "térkép"
  "medicine", "gyógyszer"
  "best", "legjobb"
  "class", "osztály"
  "world", "világ"
  "problem/trouble", "baj"
  "January", "január"
  "February", "február"
  "March", "március"
  "April", "április"
  "May", "május"
  "June", "június"
  "July", "július"
  "August", "augusztus"
  "September", "szeptember"
  "October", "október"
  "November", "november"
  "December", "december"
  "last year", "tavaly"
  "sometimes", "néha"
  "next year", "jövőre"
  "this year", "idén"
  "drain / 'dye'", "lemerül"
  "share / divide", "megoszt"
  "keyboard", "billentyűzet"
  "screen", "képernyő"
  "sound", "hang"
  "charger", "töltő"
  "password", "jelszó"
  "turn off", "kikapcsol"
  "turn on", "bekapcsol"
  "cable", "kábel"
  "works", "müködik"
  "delete", "töröl"
  "accidentally", "véletlenül"
  "to open", "megkinyitni"
  "file", "fájlt"
  "availability", "elérhetősége"
  "from my contacts", "elérhetőségedeet"
  "page", "oldalon"
  "trash can", "kukák"
  "at this/that", "ennel/annal"_
  "on this/that", "ezen/azon"
  "in this/that", "ebben/abban"
  "these/those", "ezeket/azokat"
  "at these/those", "ezeknél/azoknál"
  "on these/those", "ezeken/azokon"
  "in these/those", "ezekben/azokban"
  "phone number", "telefonszám"
  "stoplight", "közlekedési lámpa"
  "which", "melyik"
  "party", "buli"
  "nameday", "névnap"
  "celebrate", "ünnepel"
  "birthday", "születésnap"
  "dream", "álom"
  "Christmas", "karácsonyi"
  "day off", "szabadnap"
  "champagne", "pezsgő"
  "New Year's Eve", "Szilveszter"
  "date", "randi"
  "want", "akar"
  "instead", "helyette"
  "bear", "medve"
  "wolf", "farkas"
  "bee", "méh"
  "whale", "bálna"
  "parrot", "papagáj"
  "fly (animal)", "légy"
  "ant", "hangya"
  "climb/crawl", "mászik"
  "rabbit", "nyúl"
  "barking", "ugató"
  "curious", "kíváncsi"
  "spider", "pók"
  "turtle", "teknős"
  "roar", "üvöltés"
  "cow", "tehén"
  "snake", "kígyó"
  "crab", "rák"
  "bunny", "nyuszi"
  "spotted", "foltos"
  "shark", "cápa"
  "rooster", "kakas"
  "hunt", "vadászat"
  "owl", "bagoly"
  "hen", "tyúk"
  "guinea pig", "tengerimalac"
