"Русский перевод","Итальянский глагол"
"мы бежим","noi corriamo"
"вы бежите","voi correte"
"они бегут","loro corrono"
"решать","decidere"
"я решаю","io decido"
"ты решаешь","tu decidi"
"он/она решает","lui/lei decide"
"мы решаем","noi decidiamo"
"вы решаете","voi decidete"
"они решают","loro decidono"
"читать","leggere"
"я читаю","io leggo"
"ты читаешь","tu leggi"
"он/она читает","lui/lei legge"
"мы читаем","noi leggiamo"
"вы читаете","voi leggete"
"они читают","loro leggono"
"класть/ставить","mettere"
"я кладу","io metto"
"ты кладешь","tu metti"
"он/она кладет","lui/lei mette"
"мы кладем","noi mettiamo"
"вы кладете","voi mettete"
"они кладут","loro mettono"
"терять","perdere"
"я теряю","io perdo"
"ты теряешь","tu perdi"
"он/она теряет","lui/lei perde"
"мы теряем","noi perdiamo"
"вы теряете","voi perdete"
"они теряют","loro perdono"
"брать","prendere"
"я беру","io prendo"
"ты берешь","tu prendi"
"он/она берет","lui/lei prende"
"мы берем","noi prendiamo"
"вы берете","voi prendete"
"они берут","loro prendono"
"отвечать","rispondere"
"я отвечаю","io rispondo"
"ты отвечаешь","tu rispondi"
"он/она отвечает","lui/lei risponde"
"мы отвечаем","noi rispondiamo"
"вы отвечаете","voi rispondete"
"они отвечают","loro rispondono"
"писать","scrivere"
"я пишу","io scrivo"
"ты пишешь","tu scrivi"
"он/она пишет","lui/lei scrive"
"мы пишем","noi scriviamo"
"вы пишете","voi scrivete"
"они пишут","loro scrivono"
"видеть","vedere"
"я вижу","io vedo"
"ты видишь","tu vedi"
"он/она видит","lui/lei vede"
"мы видим","noi vediamo"
"вы видите","voi vedete"
"они видят","loro vedono"
"жить","vivere"
"я живу","io vivo"
"ты живешь","tu vivi"
"он/она живет","lui/lei vive"
"мы живем","noi viviamo"
"вы живете","voi vivete"
"они живут","loro vivono"
